id,condition,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m
1,creative,virtual companion AI app for chats reminders and hobbies,virtual companion ai app chats reminders hobbies,idea for combating elderly loneliness,idea combating elderly loneliness,1.06705
2,creative,intergenerational activity program with elderlyyouth skillsharing and mentoring,intergenerational activity program elderlyyouth skillsharing mentoring,idea for combating elderly loneliness,idea combating elderly loneliness,1.01263
3,creative,Adopt a Neighbor initiative where volunteers are paired with elderly for companionship,adopt neighbor initiative volunteers paired elderly companionship,idea for combating elderly loneliness,idea combating elderly loneliness,0.98966
4,creative,interactive VR experiences for explorations events and socializing,interactive vr experiences explorations events socializing,idea for combating elderly loneliness,idea combating elderly loneliness,0.99845
5,creative,mobile friendship bus as traveling hub with activities and wellness,mobile friendship bus traveling hub activities wellness,idea for combating elderly loneliness,idea combating elderly loneliness,0.9912
102,creative,intergenerational activity program with elderlyyouth skillsharing and mentoring,intergenerational activity program elderlyyouth skillsharing mentoring,virtual companion AI app for chats reminders and hobbies,virtual companion ai app chats reminders hobbies,0.95159
103,creative,Adopt a Neighbor initiative where volunteers are paired with elderly for companionship,adopt neighbor initiative volunteers paired elderly companionship,virtual companion AI app for chats reminders and hobbies,virtual companion ai app chats reminders hobbies,1.01115
104,creative,interactive VR experiences for explorations events and socializing,interactive vr experiences explorations events socializing,virtual companion AI app for chats reminders and hobbies,virtual companion ai app chats reminders hobbies,0.97093
105,creative,mobile friendship bus as traveling hub with activities and wellness,mobile friendship bus traveling hub activities wellness,virtual companion AI app for chats reminders and hobbies,virtual companion ai app chats reminders hobbies,1.06103
203,creative,Adopt a Neighbor initiative where volunteers are paired with elderly for companionship,adopt neighbor initiative volunteers paired elderly companionship,intergenerational activity program with elderlyyouth skillsharing and mentoring,intergenerational activity program elderlyyouth skillsharing mentoring,1.06336
204,creative,interactive VR experiences for explorations events and socializing,interactive vr experiences explorations events socializing,intergenerational activity program with elderlyyouth skillsharing and mentoring,intergenerational activity program elderlyyouth skillsharing mentoring,1.01542
205,creative,mobile friendship bus as traveling hub with activities and wellness,mobile friendship bus traveling hub activities wellness,intergenerational activity program with elderlyyouth skillsharing and mentoring,intergenerational activity program elderlyyouth skillsharing mentoring,0.97903
304,creative,interactive VR experiences for explorations events and socializing,interactive vr experiences explorations events socializing,Adopt a Neighbor initiative where volunteers are paired with elderly for companionship,adopt neighbor initiative volunteers paired elderly companionship,1.01866
305,creative,mobile friendship bus as traveling hub with activities and wellness,mobile friendship bus traveling hub activities wellness,Adopt a Neighbor initiative where volunteers are paired with elderly for companionship,adopt neighbor initiative volunteers paired elderly companionship,0.97481
405,creative,mobile friendship bus as traveling hub with activities and wellness,mobile friendship bus traveling hub activities wellness,interactive VR experiences for explorations events and socializing,interactive vr experiences explorations events socializing,0.98718
